NWC Source | BQ Sheet | Revit Category | Type Name | Instance Count
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX6 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX7 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX8 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX9 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX10 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX11 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL3 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | KNOCKOUT PANEL FIX12 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL1 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL4 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL5 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL6 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL7 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL9 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL10 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL11 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL12 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL13 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL14 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL16 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL17 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Generic Models | FIXED KNOCKOUTPANEL18 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Handrails | Handrail Type | 2
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Lines | Model Lines | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Railings | Railing | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Ramps | Ramp | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Roofs | Basic Roof | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Specialty Equipment | Fall_Protection-Anchor_Points-Super_Anchor-CRA-Anchor-End | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Stairs | Cast-In-Place Stair | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Structural Columns | mu_Column_Triangle_v1 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Top Rails | Top Rail Type | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Basic Wall | 8
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 1 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 5 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 6 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 8 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 12 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 13 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 15 | 1
CUB_A_ARCH | 4.1 Non-CR Architecture | Walls | Walls 16 | 1
