
=== 10.1 Non-CR Elect. ===
  Electrical Equipment   | MH_415 UPS | UPS 011 × 2
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | CONTROL PANEL LIFTING STATION -1 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | ELV × 2
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | FFU EMR PANAL × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | FFU NORMAL PANAL × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F13FW-7AB-230PP-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F13FW-PRO-480SSB-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F13FW-PRO-480SSB-002 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F13FW-PRO-480SSB-003 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F14FW-7AB-208PDB-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F14FW-7AB-208PDB-003 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F15FX-415 UPSAUXP-002 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F15FX-415AUXP-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F15FX-CTRL-415UPSDB-012 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F15FX-RTU-415-014 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F15FY-GAS-415PDB-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F16FW-7AB-208PP-001 × 1
  Electrical Equipment   | MH_ADMIN EMG POWER PANEL  GROUND FLOOR | MSI1-FAB-1-F17FW--CR-415ELDB-133 × 1
