Sheet,WBS,S.NO,Description,Unit,Qty
"2.1 Civil Works","2.1","A","CIVIL & STRUCTURAL WORKS","",0
"2.1 Civil Works","2.1","1.1","DEMOLITION OF RCC WORKS","",0
"2.1 Civil Works","2.1","2.1","Upto 1.5m","Cum",286
"2.1 Civil Works","2.1","2.2","Upto 1.5m to 3.0m","Cum",240
"2.1 Civil Works","2.1","2.3","Upto 3.0m to 4.5m","Cum",222
"2.1 Civil Works","2.1","3.1","Filling with excavated earth","Cum",272
"2.1 Civil Works","2.1","11.1.1","20 mm dia anchor bolts, Grade 8.8, indicative length 0.75 m","Nos",72
"2.1 Civil Works","2.1","11.1.2","24 mm dia anchor bolts, Grade 8.8, indicative length 1.10 m","Nos",24
"2.1 Civil Works","2.1","11.1.3","36 mm dia anchor bolts, Grade 4.6, indicative length 0.85 m","Nos",624
"2.1 Civil Works","2.1","11.1.4","42 mm dia anchor bolts, Grade 4.6, indicative length 0.85 m","Nos",36
"2.1 Civil Works","2.1","12.1","10 mm dia bars inserted in 14 mm dia drill hole, indicative embedment 200 mm, indicative projection 1200 mm","Nos",750
"2.1 Civil Works","2.1","12.2","12 mm dia bars inserted in 16 mm dia drill hole, indicative embedment 200 mm, indicative projection 600 mm","Nos",5950
"2.1 Civil Works","2.1","12.3","16 mm dia bars inserted in 20 mm dia drill hole, indicative embedment 200 mm, indicative projection 1800 mm","Nos",140
"2.1 Civil Works","2.1","12.4","20 mm dia bars inserted in 25 mm dia drill hole, indicative embedment 200 mm, indicative projection 850 mm","Nos",1332
"2.1 Civil Works","2.1","13.1.1","For RCC Raft and Walls","Sqm",277
"2.1 Civil Works","2.1","13.2.1","For top slab","Sqm",62
"2.1 Civil Works","2.1","15.1","DRAIN TRENCH","",0
"2.1 Civil Works","2.1","15.2","SUMP","",0
"2.2 Infra Works","2.2","A","INFRA WORKS","",0
"2.2 Infra Works","2.2","1.1","Pole-mounted signages (no left turn) demounting and storage","Nos",2
"2.2 Infra Works","2.2","1.2","Informatory sign boards shifting","Nos",2
"2.2 Infra Works","2.2","1.3","Removal of Bollards","Nos",2
"2.2 Infra Works","2.2","1.4","NTL PC ( No left turn Pedestrian crossing) signage  removal","Nos",1
"2.2 Infra Works","2.2","1.5","Existing kerb removal","Nos",28
"2.2 Infra Works","2.2","1.6","Removal of Handrail at the loading platform","Rmt",5
"2.2 Infra Works","2.2","5.1","ROAD STUDS","",0
"2.2 Infra Works","2.2","5.2","TUBULAR CONES","",0
"2.2 Infra Works","2.2","5.3","HEIGHT GAUGE","",0
"2.2 Infra Works","2.2","5.4","COLUMN GUARD","",0
"2.2 Infra Works","2.2","7.1","POLE-MOUNTED SIGNAGES","",0
"2.2 Infra Works","2.2","","HDPE PIPE 100MM DIA","",0
"2.2 Infra Works","2.2","","MANHOLE COVER","",0
"2.2 Infra Works","2.2","","WATERSTOPPER","",0
"2.3 PHE Works","2.3","A","PUBLIC HEALTH ENGINEERING","",0
"2.3 PHE Works","2.3","1.1","Closed Type","",0
"2.3 PHE Works","2.3","","FAB: Clean rooms- 6 Nos
FAB: :Mechanical room -1 no
FAB: Lift station - Solvent waste collection (WOR-431 & SWPD)- 1 no
FAB:Lift station - Open Area - 1 no","",0
"2.3 PHE Works","2.3","","CUB: Solvent  Room- 1no
CUB: Acid Room - 1 No
CUB: Oxidiser -1 No
CUB: Caustic Room - 1 No
CUB: Copper Room- 1 No
CUB: Dip tube room- 1 no
CUB: Scrubber Yard - Common area (Acid & Ammonia scrubber) - 2 No
CUB: WWTP-2 area - 3 No","",0
"2.3 PHE Works","2.3","1.2","Open Type","",0
"2.3 PHE Works","2.3","","CUB: Waste collection tank- 1 no
CUB: Truck Parking area - 1 no","",0
"2.3 PHE Works","2.3","","Supply, Installation, Testing, and Commissioning  of approved make full way lever operated forged brass ball valve of brass body with forged brass hard chrome plated steel ball tested to a pressure not less than 20 Kg / sqcm with threaded joints complete.","",0
"2.3 PHE Works","2.3","2.1","a) 40 mm O. D","Nos",24
"2.3 PHE Works","2.3","3.1","a)  40 mm O. D","Nos",22
"2.3 PHE Works","2.3","4.1","a)  40 mm O. D","Nos",22
"2.3 PHE Works","2.3","","Pressure Reducing Valve Kit","",0
"2.3 PHE Works","2.3","","40mm Dia","Nos",1
"2.3 PHE Works","2.3","","HDPE PN10","",0
"2.3 PHE Works","2.3","","40mm Dia","Rmt",40
"2.3 PHE Works","2.3","5.1","a) 40mm dia","Rmt",485
"2.3 PHE Works","2.3","6.1","a) 75 mm dia PVC pipe for drainage / discharge line","Rmt",206
"2.3 PHE Works","2.3","6.2","b) 110 mm dia PVC pipe for drainage / discharge line","Rmt",150
"2.3 PHE Works","2.3","","Instructions for Line Teams ( Prices of above items shall be  included in the BOQ)","",0
"2.3 PHE Works","2.3","a","Providing comprehensive on-site training to client’s personnel on operation, maintenance, safety, troubleshooting, and emergency response of the installed unit. Includes training materials, demonstration, and submission of attendance and completion certificates.","",0
"2.3 PHE Works","2.3","b","Compilation and submission of complete handing over documentation, including equipment datasheet, installation checklist, test & commissioning reports, flow and pressure test results, photographs, O&M manuals, warranty certificates, and training records, as per approved format.","",0
"2.3 PHE Works","2.3","d","Supply of recommended essential spare parts including spray heads/nozzles, dust covers, valve cartridges, foot pedal kits, push plate assemblies, O-rings, flow regulators, and other consumables required for maintenance, as per manufacturer’s recommendation and approval.","",0
"3. Structure","3","","The Bill of Quantities given above must be read in conjuncture with Technical Specification, Scope & Battery limits given along with RFP documents","",0
"3. Structure","3","A","STRUCTURAL STEEL","",0
"3. Structure","3","1.1","CUB Mezzanine & Canopy","Kgs",275000
"3. Structure","3","1.2","Internal & Outer Staircase","Kgs",6000
"3. Structure","3","1.3","CUB Internal Pipe Rack cum duct support structure","Kgs",1000
"3. Structure","3","1.4","Utility Bridge","Kgs",21000
"3. Structure","3","2.1","CUB Mezzanine & Canopy","Kgs",15000
"3. Structure","3","2.2","Internal (1 No.) & Outer (1 No.) Staircase","Kgs",10000
"3. Structure","3","2.3","CUB Internal Pipe Rack cum duct support structure","Kgs",42000
"3. Structure","3","2.4","Utility Bridge","Kgs",11000
"3. Structure","3","3.1","CUB Mezzanine & Canopy","Kgs",8000
"3. Structure","3","3.2","CUB Internal Pipe Rack cum duct support structure","Kgs",16000
"3. Structure","3","4.1","Tread & Rise","Kgs",11000
"3. Structure","3","4.2","Walkway + Drainage","Kgs",5000
"3. Structure","3","7.1","Strengthening of CUB Structures","",0
"4.1 Non-CR Architecture","4.1","A","NON CLEAN ROOM FINISHES WORKS","",0
"4.1 Non-CR Architecture","4.1","1.1","DOORS","",0
"4.1 Non-CR Architecture","4.1","1.1.1","4 hour Fire Rated Metal door with vision Panel - FD4E - (2400 X 3000 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.1.2","4 hour Fire Rated Metal door with vision Panel - FD4F - (2400 X 2100 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.1.3","2 hour fire rated metal door with vision panel - FD1B - (1200 X 2500 mm)","Nos",12
"4.1 Non-CR Architecture","4.1","1.1.4","2 hour fire rated metal door with vision panel - FD2M - (2000 X 2500 mm)","Nos",2
"4.1 Non-CR Architecture","4.1","1.1.5","Metal door with vision panel - MD5 - (750 X 2200 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.1.6","4 hour fire rated metal door with vision panel - FD4D - (2400 X 2500 mm)","Nos",3
"4.1 Non-CR Architecture","4.1","1.1.7","2 hour fire rated metal door with vision panel - FD2B - (2000 X 2500 mm)","Nos",9
"4.1 Non-CR Architecture","4.1","1.2","BLAST PROOF METAL DOOR","",0
"4.1 Non-CR Architecture","4.1","1.2.1","4 hour Fire Rated blast proof Metal door with vision Panel - FD4C - (1200 X 2500 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.2.2","4 hour Fire Rated blast proof Metal door with vision Panel - FD4N - (2000 X 2500 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.3","ROLLING SHUTTER","",0
"4.1 Non-CR Architecture","4.1","1.3.1","2 hour fire rated Rolling shutter- RS2A  - (4000 X 4200 mm)","Nos",2
"4.1 Non-CR Architecture","4.1","1.3.3","2 hour fire rated Rolling shutter- RS3  - (6000 X 6500 mm)","Nos",1
"4.1 Non-CR Architecture","4.1","1.4","LOUVERS","",0
"4.1 Non-CR Architecture","4.1","2.1","2HR FIRE RATED 200MM THICK SOLID BLOCK WALL","",0
"4.1 Non-CR Architecture","4.1","3.1","2HR FIRE RATED 200MM THICK DRY WALL","",0
"4.1 Non-CR Architecture","4.1","3.2","4HR FIRE RATED 200MM THICK DRY WALL SYSTEM","",0
"4.1 Non-CR Architecture","4.1","3.3","PARTITION FOR TEMPORARY PROTECTION FROM L1 LEVEL TO UPTO ROOF LEVEL","",0
"4.1 Non-CR Architecture","4.1","3.4","BLAST RELIEF WALL PANELS","",0
"4.1 Non-CR Architecture","4.1","4.1","PLASTERING","",0
"4.1 Non-CR Architecture","4.1","4.1.1","EXTERNAL WALL PLASTERING","",0
"4.1 Non-CR Architecture","4.1","4.1.2","INTERNAL WALL PLASTERING","",0
"4.1 Non-CR Architecture","4.1","4.2","DUST PROOF/ABRASION RESISTANT EPOXY COATING SYSTEM FOR WALLS","",0
"4.1 Non-CR Architecture","4.1","4.3","HIGH SOLIDS, CHEMICAL/MECHANICAL RESISTANT EPOXY COATING SYSTEM FOR WALLS","",0
"4.1 Non-CR Architecture","4.1","4.4","SKIM COAT & EXTERIOR PAINT ON  (PLINTH AREA OF LOADING/UNLOADING AREA)","",0
"4.1 Non-CR Architecture","4.1","4.5","INTERIOR WATER BORNE ACRYLIC SYSTEM","",0
"4.1 Non-CR Architecture","4.1","5.1","HIGH SOLIDS, CHEMICAL/MECHANICAL RESISTANT EPOXY COATING SYSTEM","",0
"4.1 Non-CR Architecture","4.1","5.2","DUST PROOF  ABRASION RESISTANT EPOXY FOR FLOORING","",0
"4.1 Non-CR Architecture","4.1","5.3","CONDUCTIVE CHEMICAL RESISTANT EPOXY COATING SYSTEM","",0
"4.1 Non-CR Architecture","4.1","6.1","CHEMICAL RESISTANT EPOXY SYSTEM","",0
"4.1 Non-CR Architecture","4.1","6.2","WATER BASED EPOXY SYSTEM","",0
"4.1 Non-CR Architecture","4.1","6.3","SKIM COAT & EXTERIOR PAINT","",0
"4.1 Non-CR Architecture","4.1","7.1","STAINLESS STEEL NON REMOVABLE RAILING","",0
"4.1 Non-CR Architecture","4.1","7.2","STAINLESS STEEL REMOVABLE RAILING","",0
"4.1 Non-CR Architecture","4.1","8.1","INSULATED SANDWICH FAÇADE WALL PANELS","",0
"4.1 Non-CR Architecture","4.1","8.2","FAÇADE FOR PIPE RACK","",0
"4.1 Non-CR Architecture","4.1","9.1","HEAVY DUTY FRP TRENCH COVER","",0
"4.1 Non-CR Architecture","4.1","9.2","HOT DIPPED GALVANIZED TRENCH COVER","",0
"4.1 Non-CR Architecture","4.1","9.3","TRENCH FINISH","",0
"4.1 Non-CR Architecture","4.1","10.1","VINYL SIGNAGES","",0
"4.1 Non-CR Architecture","4.1","10.1.1","ROOM NAME","",0
"4.1 Non-CR Architecture","4.1","10.1.2","FIRE EXTINGUISHER","",0
"4.1 Non-CR Architecture","4.1","10.1.3","HOSE REEL SIGNAGE","",0
"4.1 Non-CR Architecture","4.1","11.1","MODULER OFFICE TABLE WITH SIDE CREDENZA FOR TGCM ROOM","",0
"4.1 Non-CR Architecture","4.1","11.2","MODULER OFFICE CHAIR FOR TGCM ROOM","",0
"4.1 Non-CR Architecture","4.1","11.3","VISITOR CHAIR","",0
"4.1 Non-CR Architecture","4.1","12.1.1","Cutout in TPO membrane & repairing as per specification","Item",0
"4.1 Non-CR Architecture","4.1","12.1.2","Fire sealant & Fire stopper in utility cutouts","Item",0
"4.2 CR Architecture","4.2","","CLEAN ROOM WORKS","",0
"4.2 CR Architecture","4.2","","TEMPORARY BARRIER PARTITION BETWEEN PHASE 1 & 7A BUMPING","",0
"4.2 CR Architecture","4.2","","DEMOLITION WORKS","",0
"4.2 CR Architecture","4.2","","Clean Room Wall Panels","Sqm",860
"4.2 CR Architecture","4.2","","GI sheet","Sqm",1657
"4.2 CR Architecture","4.2","","Door","Nos",1
"4.2 CR Architecture","4.2","","Cat Ladder (Grating Level As indicated in IFC drawing)","Nos",3
"4.2 CR Architecture","4.2","1.1","CLEAN ROOM PARTITION WALLS - 50MM THICK","",0
"4.2 CR Architecture","4.2","","COVING","",0
"4.2 CR Architecture","4.2","1.2","Aluminium Cleanroom Coving – Wall to Floor & Wall to Ceiling (Radius 25 / 38 mm)","Rmt",1283
"4.2 CR Architecture","4.2","1.3","Aluminium Cleanroom Coving – Wall to Wall Internal (Concave, Radius 25 / 38 mm)","Rmt",200
"4.2 CR Architecture","4.2","1.4","Aluminium Cleanroom Coving – Wall to Wall External (Convex, Radius 25 / 38 mm)","Rmt",130
"4.2 CR Architecture","4.2","6.1","HIGH SOLIDS, CHEMICAL/MECHANICAL RESISTANT EPOXY COATING SYSTEM","",0
"4.2 CR Architecture","4.2","6.2","RAISED FLOOR SYSTEM","",0
"4.2 CR Architecture","4.2","6.2.1","Clean room (New Tiles)","",0
"4.2 CR Architecture","4.2","6.2.2","Solid floor tiles including PVC – covering","Sqm",1288
"4.2 CR Architecture","4.2","6.2.3","Perforated floor tiles including PVC – covering","Sqm",1239
"4.2 CR Architecture","4.2","6.2.4","Cold shell area (New Tiles)","",0
"4.2 CR Architecture","4.2","6.2.5","Solid floor tiles including PVC – covering","Sqm",0
"4.2 CR Architecture","4.2","6.2.6","Perforated floor tiles including PVC – covering","Sqm",0
"4.2 CR Architecture","4.2","7.1","WALKABLE FALSE CEILING","",0
"4.2 CR Architecture","4.2","7.1.1","Clean room Blank panel ceiling","Sqm",1021
"4.2 CR Architecture","4.2","7.1.2","Cold shell area Blank panel ceiling","Sqm",0
"4.2 CR Architecture","4.2","7.1.3","Cold shell area Perforated ceiling","",0
"4.2 CR Architecture","4.2","8.1","CLEAN ROOM DOORS (LEVEL 1)","",0
"4.2 CR Architecture","4.2","8.1.1","HALF GLAZED CLEANROOM DOUBLE LEAF DOOR - CD1 (900x2200mm)","Nos",7
"4.2 CR Architecture","4.2","8.1.2","HALF GLAZED CLEANROOM DOUBLE LEAF DOOR - CD2C (2400 X 3200 mm)","Nos",4
"4.2 CR Architecture","4.2","8.1.3","HALF GLAZED CLEANROOM SINGLE LEAF DOOR - CD5 (900 X 2200 mm)","Nos",10
"4.2 CR Architecture","4.2","8.1.4","HALF GLAZE AUTO SLIDING  DOOR - CSD2A (1500 X 2500 mm)","Nos",2
"4.2 CR Architecture","4.2","","DOORS (ABOVE WALKABLE CEILING AND UPTO GRATING LEVEL)","",0
"4.2 CR Architecture","4.2","","PD1A (1m x 2.5m) Metal Door with Vision panel 2 Hr Fire Rated","",12
"4.2 CR Architecture","4.2","","PD2A (2.4m x 3.2m) Metal Door with Vision panel 2 Hr Fire Rated","",2
"4.2 CR Architecture","4.2","","PD2AN (2.4m x 3m) Metal Door with Vision panel 2 Hr Fire Rated","",1
"4.2 CR Architecture","4.2","11.1.1","Clean Room Partition","Nos.",3
"4.2 CR Architecture","4.2","11.1.2","Door","Nos.",1
"4.2 CR Architecture","4.2","11.1.3","Cat Ladder (Grating Level As indicated in IFC drawing)","Nos.",3
"4.2 CR Architecture","4.2","","Clean room blank panel ceiling","Sqm",506
"4.2 CR Architecture","4.2","","Cold shell area perforated panel ceiling","Sqm",168
"4.2 CR Architecture","4.2","","Cold shell area blank panel ceiling","Sqm",360
"4.2 CR Architecture","4.2","","Cold Shell Area","",0
"4.2 CR Architecture","4.2","","Solid floor tiles including PVC – covering","Sqm",556
"4.2 CR Architecture","4.2","","Perforated floor tiles including PVC – covering","Sqm",346
"4.2 CR Architecture","4.2","14.1","Clean Room Partition","Item",1
"4.2 CR Architecture","4.2","14.2","Door","Item",1
"4.2 CR Architecture","4.2","14.3","Cat Ladder (Grating Level As indicated in IFC drawing)","Item",1
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",10
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",105
"5.1 Non-CR HVAC","5.1","","80 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",5
"5.1 Non-CR HVAC","5.1","","150 MM NB","Rmt",297
"5.1 Non-CR HVAC","5.1","","200 MM NB","Rmt",64
"5.1 Non-CR HVAC","5.1","","250 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","600 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","High Performance butterfly valve","",0
"5.1 Non-CR HVAC","5.1","","80 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","150 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","200 MM NB","Nos",2
"5.1 Non-CR HVAC","5.1","","600 MM NB","Nos",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","50 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",0
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",3
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",62
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",77
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",6
"5.1 Non-CR HVAC","5.1","","80 MM NB","Rmt",82
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",70
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",3
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",16
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","15 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","20 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","25 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",1
"5.1 Non-CR HVAC","5.1","","65 MM NB","Rmt",3
"5.1 Non-CR HVAC","5.1","","100 MM NB","Rmt",16
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",2
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",5
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick
Insulation thickness shall be verified with the manufacturer","",0
"5.1 Non-CR HVAC","5.1","","32 MM NB","Rmt",4
"5.1 Non-CR HVAC","5.1","","Insulation Thickness: 
Dia(mm) 20-32 - 38 mm thick
Dia(mm) 50 - 41 mm thick
Dia(mm) 65 - 44 mm thick
Dia (mm) 80-100 - 50 mm thick
Dia (mm) 150 - 51 mm thick
Dia (mm) 200-300- 57 mm thick
Dia (mm) 350-700- 64 mm thick","",0
"5.1 Non-CR HVAC","5.1","","40 MM NB","Rmt",0
